reviewId,reviewTitle,reviewDetail,reviewee,noOfStars,reviewDate,reviewerType,images,product_id
431781285,totally satisfied,"price is Little bit on higher side but the product is totally worth, super class material , the best part i like is the shoping experience",Sourabh N.,5,2023-01-13T21:28:16Z,anonymous_user,[],216521
431634759,superb product,lens quality is too good also very light frame and its looks nice,Nitesh T.,5,2023-01-13T04:32:14Z,anonymous_user,[],216521
431570411,everything is awesome except XW size,It is my most favourite frame but XW size is not available please work on this issue,Ankur A.,4,2023-01-12T20:58:34Z,verified_reviewer,[],216521
431233694,Excellent Delivery and Good Product,Delivery was very fast,Faizan A.,5,2023-01-11T07:29:39Z,verified_reviewer,[],216521
431056039,amazing frame,"Loved it, very trendy and lightweight",Divyangi S.,5,2023-01-10T17:17:20Z,verified_reviewer,[],216521
430608923,Nice,Nice,Drumil B.,5,2023-01-08T10:38:13Z,anonymous_user,[],216521
428325601,request for available in 145 mm XL size,"with the same color and same frame material, kindly make available in XL size 145 mm and iam looking for your quick response on this, i really like this product, please consider my request and do needful",Vishwanath J.,5,2022-12-28T19:06:25Z,anonymous_user,[],216521
428292368,Awesome products,"its absolutely perfect product as show in the shop,,,",Manav G.,5,2022-12-28T15:42:57Z,anonymous_user,[],216521
427952061,glasses lenskart,loved my new glasses from lenskart There were variety of frames available for everyone according to their needs thank you lenskart,Amit S.,5,2022-12-27T04:48:04Z,anonymous_user,[],216521
427441768,loose fitting,very loose,kaushik,3,2022-12-23T17:30:39Z,verified_reviewer,[],216521
426650618,very good product,very light product looks also good,krishnarjun D.,5,2022-12-20T15:08:57Z,anonymous_user,[],216521
426209054,loved it,"second time I purchased on lenskart,I Love your job , making was perfect and its looks cool,thank you lenskart for great great shopping",dilip p.,5,2022-12-19T02:47:44Z,verified_reviewer,[],216521
426185891,Cool frame,Amazing frame so light weighted and it really gives you a pritty look simply just go for it,Abhay P.,5,2022-12-18T21:50:20Z,verified_reviewer,[],216521
425549324,Loved it,Frame is super trendy Loved it,Akhil n.,5,2022-12-15T16:25:32Z,anonymous_user,[],216521
425517894,Product Review,Awesome Product,Apurba D.,5,2022-12-15T14:12:17Z,anonymous_user,[],216521
425029953,good,good,aditya ,5,2022-12-13T18:21:06Z,verified_reviewer,[],216521
424231400,very Noice,very noiceee,aditya ,5,2022-12-10T04:48:28Z,anonymous_user,[],216521
423520346,good,product is of good quality,Firasath A.,5,2022-12-07T12:54:44Z,verified_reviewer,[],216521
422345438,awesome 5/5 👍,"looks very good , light weighted, loved it",Bhavantu v.,5,2022-12-02T17:45:14Z,verified_reviewer,[],216521
422344926,frame with glasses,"1-looks really awesome, 2-light weighted loved it",jack s.,5,2022-12-02T17:37:30Z,anonymous_user,[],216521
421289500,excellent,excellent frame with accurate power and clearity with superior quality,TK  ,5,2022-11-27T06:33:57Z,verified_reviewer,[],216521
